psi_date,psi_measures,region,index
2020-04-01,pm10_twenty_four_hourly,west,27
2020-04-01,pm10_twenty_four_hourly,national,28
2020-04-01,pm10_twenty_four_hourly,east,28
2020-04-01,pm10_twenty_four_hourly,central,25
2020-04-01,pm10_twenty_four_hourly,south,21
2020-04-01,pm10_twenty_four_hourly,north,26
2020-04-02,pm10_twenty_four_hourly,west,22
2020-04-02,pm10_twenty_four_hourly,national,25
2020-04-02,pm10_twenty_four_hourly,east,25
2020-04-02,pm10_twenty_four_hourly,central,20
2020-04-02,pm10_twenty_four_hourly,south,21
2020-04-02,pm10_twenty_four_hourly,north,21
2020-04-03,pm10_twenty_four_hourly,west,20
2020-04-03,pm10_twenty_four_hourly,national,25
2020-04-03,pm10_twenty_four_hourly,east,25
2020-04-03,pm10_twenty_four_hourly,central,20
2020-04-03,pm10_twenty_four_hourly,south,21
2020-04-03,pm10_twenty_four_hourly,north,23
2020-04-04,pm10_twenty_four_hourly,west,23
2020-04-04,pm10_twenty_four_hourly,national,23
2020-04-04,pm10_twenty_four_hourly,east,23
2020-04-04,pm10_twenty_four_hourly,central,20
2020-04-04,pm10_twenty_four_hourly,south,20
2020-04-04,pm10_twenty_four_hourly,north,22
2020-04-05,pm10_twenty_four_hourly,west,21
2020-04-05,pm10_twenty_four_hourly,national,30
2020-04-05,pm10_twenty_four_hourly,east,30
2020-04-05,pm10_twenty_four_hourly,central,23
2020-04-05,pm10_twenty_four_hourly,south,22
2020-04-05,pm10_twenty_four_hourly,north,24
2020-04-06,pm10_twenty_four_hourly,west,22
2020-04-06,pm10_twenty_four_hourly,national,29
2020-04-06,pm10_twenty_four_hourly,east,29
2020-04-06,pm10_twenty_four_hourly,central,25
2020-04-06,pm10_twenty_four_hourly,south,25
2020-04-06,pm10_twenty_four_hourly,north,26
2020-04-07,pm10_twenty_four_hourly,west,15
2020-04-07,pm10_twenty_four_hourly,national,26
2020-04-07,pm10_twenty_four_hourly,east,26
2020-04-07,pm10_twenty_four_hourly,central,14
2020-04-07,pm10_twenty_four_hourly,south,17
2020-04-07,pm10_twenty_four_hourly,north,19
2020-04-08,pm10_twenty_four_hourly,west,25
2020-04-08,pm10_twenty_four_hourly,national,26
2020-04-08,pm10_twenty_four_hourly,east,26
2020-04-08,pm10_twenty_four_hourly,central,19
2020-04-08,pm10_twenty_four_hourly,south,18
2020-04-08,pm10_twenty_four_hourly,north,21
2020-04-09,pm10_twenty_four_hourly,west,19
2020-04-09,pm10_twenty_four_hourly,national,28
2020-04-09,pm10_twenty_four_hourly,east,28
2020-04-09,pm10_twenty_four_hourly,central,19
2020-04-09,pm10_twenty_four_hourly,south,20
2020-04-09,pm10_twenty_four_hourly,north,23
2020-04-10,pm10_twenty_four_hourly,west,26
2020-04-10,pm10_twenty_four_hourly,national,26
2020-04-10,pm10_twenty_four_hourly,east,25
2020-04-10,pm10_twenty_four_hourly,central,21
